month,industry,pd_true,lgd_true,amount,relationship_years,capital_pressure,liquidity_pressure,sector_pressure,offered_rate,pd_hat,risk_only_rate,agent_rate,agent_ev
51,energy,0.0011867890775920627,0.25877427992320073,4.8188840410283005,3.022641193786574,0.40939183306318094,0.729507764044698,0.28812663007071465,0.158588078684102,0.0022861313517293412,0.1700000000000001,0.1725000000000001,0.2669364013884216
58,energy,0.0036980407071129924,0.36004884434568246,7.5390801187031204,13.000255796897541,0.45808715307363257,0.34410727748484154,0.18997011895755012,0.16310119159403574,0.005999013382362957,0.1700000000000001,0.1750000000000001,0.0864117346881117
50,energy,0.0009300223453729986,0.25224298348329593,8.52603755404984,6.040981230111395,0.4402136336551902,0.7756908165251507,0.19660865288262466,0.15716335104228008,0.001797209897661799,0.1625000000000001,0.1725000000000001,0.16566533421701166
55,energy,0.0020424593834439246,0.32228735047308155,22.18630485497911,1.3891384400192202,0.34735690352330206,0.5031144933167492,0.38645953365359653,0.15668970757174056,0.004971923927798011,0.1675000000000001,0.1850000000000001,0.04115235829180001
49,telecom,0.004877309000299754,0.39968183733518914,8.014300365107902,2.221434208460796,0.6447363823127321,0.6526569311833204,0.44517352410739375,0.15866710863394687,0.008788465323470595,0.1625000000000001,0.19250000000000012,0.0049261612471673336
53,energy,0.007645754957662329,0.39413446630389887,23.539255493093773,1.4218376406413487,0.5350546782031187,0.6311324395835756,0.19570651695489705,0.1622396269259879,0.010253020653456641,0.1700000000000001,0.1775000000000001,0.12400200885285505
51,retail,0.01889887807191116,0.5659597810321525,10.631862388549997,3.67231621320146,0.5119349428022327,0.6976108506146247,0.45330210094758533,0.1554681373502078,0.021241744262366174,0.1675000000000001,0.1700000000000001,0.39744197251720575
49,manufacturing,0.007364532634931907,0.405648146741376,1.5442320339468398,2.764149425229764,0.4647612484039071,0.3908346639604615,0.3416619211668055,0.14935711304414442,0.010447564772824347,0.1625000000000001,0.1675000000000001,0.01710119432187441
58,telecom,0.0033297161644200153,0.2512054345108609,6.9339573808589865,7.263448102451549,0.6563063134787359,0.33910455638876097,0.473509360828436,0.1638008161254295,0.005149489923790059,0.1625000000000001,0.1725000000000001,0.024064904428885103
53,telecom,0.000779851811042682,0.2060004204716512,5.150296417528724,3.3801358529258456,0.6067399568438328,0.41142919264543243,0.5943126924308575,0.16019270492157772,0.0013898656884572178,0.1650000000000001,0.1750000000000001,0.029130124549389222
55,retail,0.04078455882226152,0.5459574580048356,0.7608476295141277,1.0796192608108546,0.6773428565435061,0.38102045797421186,0.40263994611546616,0.17799399176926808,0.038192618043746004,0.1750000000000001,0.1850000000000001,0.00239037099298247
58,retail,0.007819286707762347,0.5329979004900268,16.263452223353788,5.297690958724407,0.6087585018536857,0.4432193960990696,0.1838510607764946,0.16269212053044446,0.007366393917009568,0.1750000000000001,0.1825000000000001,0.06663785999542123
54,services,0.0032479577814805796,0.40928717865291375,2.897174915757461,6.639468287395079,0.565658187654184,0.6002435093191745,0.7594494249088086,0.16024132063002317,0.0035782351325978554,0.1650000000000001,0.1700000000000001,0.02327417592164931
56,telecom,0.013784813887941042,0.47510746389657516,31.826654365212036,4.934583319533944,0.6901339211358344,0.4703767129107676,0.460624903148573,0.16063809141972746,0.014401686181441043,0.1725000000000001,0.1800000000000001,1.3950816340515633
49,telecom,0.010225831717050198,0.34025818061260266,8.140669740700053,3.5781648468927902,0.5250479649547519,0.7225384483542613,0.3003336437148114,0.147286645546898,0.010196886875343834,0.15500000000000008,0.1650000000000001,0.07457880449016661
49,transport,0.0016295949273597153,0.30242331897563396,9.742338014285874,4.626269625031567,0.5200403594847595,0.6944983284906321,0.6350685263479786,0.1649157021397561,0.0015312707636009504,0.1675000000000001,0.19750000000000012,0.004073920483158774
48,services,0.001056579055121752,0.2527443290004941,2.8799324784051534,8.476037710534884,0.8447631795514181,0.7076895236800741,0.5512577969779795,0.14100393093251715,0.0008279301781513716,0.15250000000000008,0.1700000000000001,0.005456523351849876
50,retail,0.0033088031532903456,0.39532724794482943,2.3535641540740477,2.083379340593297,0.7583030518903237,0.5770317951103373,0.5311935565091552,0.15359358155617622,0.004613677191010777,0.1675000000000001,0.1725000000000001,0.0931240048210646
53,telecom,0.004318922431505495,0.275339146600528,5.029750899528235,7.63002655965516,0.6009796229871632,0.558621832177609,0.5089237394999371,0.1672314807676189,0.0034879799512321738,0.1600000000000001,0.1650000000000001,0.1317091811211796
49,retail,0.0019754109979546607,0.45708665410835136,7.07370023255953,3.902830205210381,0.5943188626596714,0.6496922771045639,0.5976847332177968,0.15970769776626187,0.002530248188345123,0.1700000000000001,0.1750000000000001,0.28542254496668285
48,energy,0.0010606724884522163,0.22874567676822188,9.428743451953272,3.854697256460353,0.7683239471075081,0.7338724161036946,0.17900066729416045,0.1569170247595121,0.0017222232378931563,0.15250000000000008,0.1600000000000001,0.06627530097643876
